,max_runtime,seed,itterations,ants,alpha,beta,rho,Q,tau0,exit_status,path
110,120,69,500,277.0,0.5,3.5,0.99,0.2,0.0001,"Time limit
",55914
111,120,69,500,277.0,0.5,4.0,0.99,0.2,0.0001,"Time limit
",52049
112,120,69,500,277.0,1.0,0.5,0.99,0.2,0.0001,"Time limit
",376424
113,120,69,500,277.0,1.0,1.0,0.99,0.2,0.0001,"Time limit
",124589
114,120,69,500,277.0,1.0,1.5,0.99,0.2,0.0001,"Time limit
",72597
115,120,69,500,277.0,1.0,2.0,0.99,0.2,0.0001,"Time limit
",60057
116,120,69,500,277.0,1.0,2.5,0.99,0.2,0.0001,"Time limit
",53416
117,120,69,500,277.0,1.0,3.0,0.99,0.2,0.0001,"Time limit
",51109
118,120,69,500,277.0,1.0,3.5,0.99,0.2,0.0001,"Time limit
",48916
119,120,69,500,277.0,1.0,4.0,0.99,0.2,0.0001,"Time limit
",48759
120,120,69,500,277.0,1.5,0.5,0.99,0.2,0.0001,"Time limit
",266014
121,120,69,500,277.0,1.5,1.0,0.99,0.2,0.0001,"Time limit
",68245
122,120,69,500,277.0,1.5,1.5,0.99,0.2,0.0001,"Time limit
",53730
123,120,69,500,277.0,1.5,2.0,0.99,0.2,0.0001,"Time limit
",50063
124,120,69,500,277.0,1.5,2.5,0.99,0.2,0.0001,"Time limit
",47544
125,120,69,500,277.0,1.5,3.0,0.99,0.2,0.0001,"Time limit
",48386
126,120,69,500,277.0,1.5,3.5,0.99,0.2,0.0001,"Time limit
",48406
127,120,69,500,277.0,1.5,4.0,0.99,0.2,0.0001,"Time limit
",47178
128,120,69,500,277.0,2.0,0.5,0.99,0.2,0.0001,"Time limit
",121203
129,120,69,500,277.0,2.0,1.0,0.99,0.2,0.0001,"Time limit
",55401
130,120,69,500,277.0,2.0,1.5,0.99,0.2,0.0001,"Time limit
",49822
131,120,69,500,277.0,2.0,2.0,0.99,0.2,0.0001,"Time limit
",49012
132,120,69,500,277.0,2.0,2.5,0.99,0.2,0.0001,"Improvement limit
",48174
133,120,69,500,277.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",46617
134,120,69,500,277.0,2.0,3.5,0.99,0.2,0.0001,"Time limit
",46694
135,120,69,500,277.0,2.0,4.0,0.99,0.2,0.0001,"Time limit
",46736
136,120,69,500,277.0,2.5,0.5,0.99,0.2,0.0001,"Time limit
",63476
137,120,69,500,277.0,2.5,1.0,0.99,0.2,0.0001,"Time limit
",49705
138,120,69,500,277.0,2.5,1.5,0.99,0.2,0.0001,"Time limit
",47998
139,120,69,500,277.0,2.5,2.0,0.99,0.2,0.0001,"Time limit
",49051
140,120,69,500,277.0,2.5,2.5,0.99,0.2,0.0001,"Improvement limit
",48367
141,120,69,500,277.0,2.5,3.0,0.99,0.2,0.0001,"Time limit
",46899
142,120,69,500,277.0,2.5,3.5,0.99,0.2,0.0001,"Improvement limit
",47567
143,120,69,500,277.0,2.5,4.0,0.99,0.2,0.0001,"Time limit
",47123
144,120,69,500,277.0,3.0,0.5,0.99,0.2,0.0001,"Time limit
",55370
145,120,69,500,277.0,3.0,1.0,0.99,0.2,0.0001,"Time limit
",50415
146,120,69,500,277.0,3.0,1.5,0.99,0.2,0.0001,"Time limit
",50763
147,120,69,500,277.0,3.0,2.0,0.99,0.2,0.0001,"Improvement limit
",48335
148,120,69,500,277.0,3.0,2.5,0.99,0.2,0.0001,"Improvement limit
",49746
149,120,69,500,277.0,3.0,3.0,0.99,0.2,0.0001,"Improvement limit
",48563
150,120,69,500,277.0,3.0,3.5,0.99,0.2,0.0001,"Improvement limit
",48527
151,120,69,500,277.0,3.0,4.0,0.99,0.2,0.0001,"Improvement limit
",46232
152,120,69,500,277.0,3.5,0.5,0.99,0.2,0.0001,"Time limit
",54916
153,120,69,500,277.0,3.5,1.0,0.99,0.2,0.0001,"Time limit
",52578
154,120,69,500,277.0,3.5,1.5,0.99,0.2,0.0001,"Improvement limit
",51767
155,120,69,500,277.0,3.5,2.0,0.99,0.2,0.0001,"Improvement limit
",50119
156,120,69,500,277.0,3.5,2.5,0.99,0.2,0.0001,"Time limit
",47491
157,120,69,500,277.0,3.5,3.0,0.99,0.2,0.0001,"Improvement limit
",49234
158,120,69,500,277.0,3.5,3.5,0.99,0.2,0.0001,"Improvement limit
",47779
159,120,69,500,277.0,3.5,4.0,0.99,0.2,0.0001,"Improvement limit
",47795
160,120,69,500,277.0,4.0,0.5,0.99,0.2,0.0001,"Time limit
",55017
161,120,69,500,277.0,4.0,1.0,0.99,0.2,0.0001,"Improvement limit
",50287
162,120,69,500,277.0,4.0,1.5,0.99,0.2,0.0001,"Improvement limit
",51421
163,120,69,500,277.0,4.0,2.0,0.99,0.2,0.0001,"Improvement limit
",50674
164,120,69,500,277.0,4.0,2.5,0.99,0.2,0.0001,"Improvement limit
",50110
165,120,69,500,277.0,4.0,3.0,0.99,0.2,0.0001,"Improvement limit
",50160
166,120,69,500,277.0,4.0,3.5,0.99,0.2,0.0001,"Improvement limit
",47550
167,120,69,500,277.0,4.0,4.0,0.99,0.2,0.0001,"Improvement limit
",47554
168,120,69,500,277.0,2.0,3.0,0.6400000000000001,0.2,0.0001,"Improvement limit
",47671
169,120,69,500,277.0,2.0,3.0,0.6725210478254342,0.2,0.0001,"Improvement limit
",48116
170,120,69,500,277.0,2.0,3.0,0.7066946246378438,0.2,0.0001,"Improvement limit
",48337
171,120,69,500,277.0,2.0,3.0,0.7426047022719447,0.2,0.0001,"Time limit
",47933
172,120,69,500,277.0,2.0,3.0,0.7803395195187859,0.2,0.0001,"Improvement limit
",47606
173,120,69,500,277.0,2.0,3.0,0.8199917989474527,0.2,0.0001,"Improvement limit
",47684
174,120,69,500,277.0,2.0,3.0,0.8616589747443807,0.2,0.0001,"Improvement limit
",47763
175,120,69,500,277.0,2.0,3.0,0.9054434321301255,0.2,0.0001,"Improvement limit
",48551
176,120,69,500,277.0,2.0,3.0,0.9514527589418899,0.2,0.0001,"Improvement limit
",47632
177,120,69,500,277.0,2.0,3.0,0.9998000100000001,0.2,0.0001,"Improvement limit
",47874
178,120,69,500,277.0,2.0,3.0,0.99,0.1,0.0001,"Time limit
",47433
179,120,69,500,277.0,2.0,3.0,0.99,0.325,0.0001,"Time limit
",47992
180,120,69,500,277.0,2.0,3.0,0.99,0.55,0.0001,"Time limit
",47638
181,120,69,500,277.0,2.0,3.0,0.99,0.775,0.0001,"Time limit
",47526
182,120,69,500,277.0,2.0,3.0,0.99,1.0,0.0001,"Improvement limit
",48030
183,120,69,500,277.0,2.0,3.0,0.99,0.2,1.0,"Time limit
",76277
184,120,69,500,277.0,2.0,3.0,0.99,0.2,0.01,"Time limit
",65121
185,120,69,500,277.0,2.0,3.0,0.99,0.2,0.001,"Time limit
",49475
186,120,69,500,277.0,2.0,3.0,0.99,0.2,0.001,"Time limit
",49475
187,120,69,500,277.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",46617
188,120,69,500,10.0,3.0,4.0,0.99,0.2,0.0001,"Improvement limit
",49368
189,120,69,500,43.0,3.0,4.0,0.99,0.2,0.0001,"Improvement limit
",47332
190,120,69,500,77.0,3.0,4.0,0.99,0.2,0.0001,"Improvement limit
",47343
191,120,69,500,110.0,3.0,4.0,0.99,0.2,0.0001,"Improvement limit
",47091
192,120,69,500,143.0,3.0,4.0,0.99,0.2,0.0001,"Improvement limit
",46753
193,120,69,500,177.0,3.0,4.0,0.99,0.2,0.0001,"Improvement limit
",47379
194,120,69,500,210.0,3.0,4.0,0.99,0.2,0.0001,"Time limit
",46743
195,120,69,500,243.0,3.0,4.0,0.99,0.2,0.0001,"Time limit
",45525
196,120,69,500,277.0,3.0,4.0,0.99,0.2,0.0001,"Improvement limit
",46232
197,120,69,500,310.0,3.0,4.0,0.99,0.2,0.0001,"Improvement limit
",46993
198,120,69,500,277.0,0.5,0.5,0.99,0.2,0.0001,"Time limit
",430202
199,120,69,500,277.0,0.5,1.0,0.99,0.2,0.0001,"Time limit
",240278
200,120,69,500,277.0,0.5,1.5,0.99,0.2,0.0001,"Time limit
",125425
201,120,69,500,277.0,0.5,2.0,0.99,0.2,0.0001,"Time limit
",81408
202,120,69,500,277.0,0.5,2.5,0.99,0.2,0.0001,"Time limit
",67487
203,120,69,500,277.0,0.5,3.0,0.99,0.2,0.0001,"Time limit
",60121
204,120,69,500,277.0,0.5,3.5,0.99,0.2,0.0001,"Time limit
",55914
205,120,69,500,277.0,0.5,4.0,0.99,0.2,0.0001,"Time limit
",52049
206,120,69,500,277.0,1.0,0.5,0.99,0.2,0.0001,"Time limit
",376424
207,120,69,500,277.0,1.0,1.0,0.99,0.2,0.0001,"Time limit
",124589
208,120,69,500,277.0,1.0,1.5,0.99,0.2,0.0001,"Time limit
",72740
209,120,69,500,277.0,1.0,2.0,0.99,0.2,0.0001,"Time limit
",60057
210,120,69,500,277.0,1.0,2.5,0.99,0.2,0.0001,"Time limit
",52690
211,120,69,500,277.0,1.0,3.0,0.99,0.2,0.0001,"Time limit
",51109
212,120,69,500,277.0,1.0,3.5,0.99,0.2,0.0001,"Time limit
",48916
213,120,69,500,277.0,1.0,4.0,0.99,0.2,0.0001,"Time limit
",48467
214,120,69,500,277.0,1.5,0.5,0.99,0.2,0.0001,"Time limit
",260662
215,120,69,500,277.0,1.5,1.0,0.99,0.2,0.0001,"Time limit
",68245
216,120,69,500,277.0,1.5,1.5,0.99,0.2,0.0001,"Time limit
",53730
217,120,69,500,277.0,1.5,2.0,0.99,0.2,0.0001,"Time limit
",50063
218,120,69,500,277.0,1.5,2.5,0.99,0.2,0.0001,"Time limit
",47544
219,120,69,500,277.0,1.5,3.0,0.99,0.2,0.0001,"Time limit
",48386
220,120,69,500,277.0,1.5,3.5,0.99,0.2,0.0001,"Time limit
",48406
221,120,69,500,277.0,1.5,4.0,0.99,0.2,0.0001,"Time limit
",47178
222,120,69,500,277.0,2.0,0.5,0.99,0.2,0.0001,"Time limit
",121203
223,120,69,500,277.0,2.0,1.0,0.99,0.2,0.0001,"Time limit
",55401
224,120,69,500,277.0,2.0,1.5,0.99,0.2,0.0001,"Time limit
",49822
225,120,69,500,277.0,2.0,2.0,0.99,0.2,0.0001,"Time limit
",49012
226,120,69,500,277.0,2.0,2.5,0.99,0.2,0.0001,"Improvement limit
",48174
227,120,69,500,277.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",46617
228,120,69,500,277.0,2.0,3.5,0.99,0.2,0.0001,"Time limit
",46694
229,120,69,500,277.0,2.0,4.0,0.99,0.2,0.0001,"Time limit
",46736
230,120,69,500,277.0,2.5,0.5,0.99,0.2,0.0001,"Time limit
",63476
231,120,69,500,277.0,2.5,1.0,0.99,0.2,0.0001,"Time limit
",49705
232,120,69,500,277.0,2.5,1.5,0.99,0.2,0.0001,"Time limit
",48276
233,120,69,500,277.0,2.5,2.0,0.99,0.2,0.0001,"Time limit
",49051
234,120,69,500,277.0,2.5,2.5,0.99,0.2,0.0001,"Improvement limit
",48367
235,120,69,500,277.0,2.5,3.0,0.99,0.2,0.0001,"Time limit
",46899
236,120,69,500,277.0,2.5,3.5,0.99,0.2,0.0001,"Improvement limit
",47567
237,120,69,500,277.0,2.5,4.0,0.99,0.2,0.0001,"Time limit
",47123
238,120,69,500,277.0,3.0,0.5,0.99,0.2,0.0001,"Time limit
",55370
239,120,69,500,277.0,3.0,1.0,0.99,0.2,0.0001,"Time limit
",50415
240,120,69,500,277.0,3.0,1.5,0.99,0.2,0.0001,"Time limit
",50763
241,120,69,500,277.0,3.0,2.0,0.99,0.2,0.0001,"Improvement limit
",48335
242,120,69,500,277.0,3.0,2.5,0.99,0.2,0.0001,"Improvement limit
",49746
243,120,69,500,277.0,3.0,3.0,0.99,0.2,0.0001,"Improvement limit
",48563
244,120,69,500,277.0,3.0,3.5,0.99,0.2,0.0001,"Improvement limit
",48527
245,120,69,500,277.0,3.0,4.0,0.99,0.2,0.0001,"Improvement limit
",46232
246,120,69,500,277.0,3.5,0.5,0.99,0.2,0.0001,"Time limit
",54916
247,120,69,500,277.0,3.5,1.0,0.99,0.2,0.0001,"Time limit
",52578
248,120,69,500,277.0,3.5,1.5,0.99,0.2,0.0001,"Improvement limit
",51767
249,120,69,500,277.0,3.5,2.0,0.99,0.2,0.0001,"Improvement limit
",50119
250,120,69,500,277.0,3.5,2.5,0.99,0.2,0.0001,"Time limit
",47491
251,120,69,500,277.0,3.5,3.0,0.99,0.2,0.0001,"Improvement limit
",49234
252,120,69,500,277.0,3.5,3.5,0.99,0.2,0.0001,"Improvement limit
",47779
253,120,69,500,277.0,3.5,4.0,0.99,0.2,0.0001,"Improvement limit
",47795
254,120,69,500,277.0,4.0,0.5,0.99,0.2,0.0001,"Time limit
",55017
255,120,69,500,277.0,4.0,1.0,0.99,0.2,0.0001,"Time limit
",50287
256,120,69,500,277.0,4.0,1.5,0.99,0.2,0.0001,"Improvement limit
",51421
257,120,69,500,277.0,4.0,2.0,0.99,0.2,0.0001,"Improvement limit
",50674
258,120,69,500,277.0,4.0,2.5,0.99,0.2,0.0001,"Improvement limit
",50110
259,120,69,500,277.0,4.0,3.0,0.99,0.2,0.0001,"Improvement limit
",50160
260,120,69,500,277.0,4.0,3.5,0.99,0.2,0.0001,"Improvement limit
",47550
261,120,69,500,277.0,4.0,4.0,0.99,0.2,0.0001,"Improvement limit
",47554
