,max_runtime,seed,itterations,ants,alpha,beta,rho,Q,tau0,exit_status,path
214,120,69,500,70.0,1.5,0.5,0.99,0.2,0.01,"Improvement limit
",587
215,120,69,500,70.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",550
216,120,69,500,70.0,1.5,1.5,0.99,0.2,0.01,"Improvement limit
",566
217,120,69,500,70.0,1.5,2.0,0.99,0.2,0.01,"Improvement limit
",562
218,120,69,500,70.0,1.5,2.5,0.99,0.2,0.01,"Improvement limit
",561
219,120,69,500,70.0,1.5,3.0,0.99,0.2,0.01,"Improvement limit
",564
220,120,69,500,70.0,1.5,3.5,0.99,0.2,0.01,"Improvement limit
",561
221,120,69,500,70.0,1.5,4.0,0.99,0.2,0.01,"Improvement limit
",565
222,120,69,500,70.0,2.0,0.5,0.99,0.2,0.01,"Improvement limit
",578
223,120,69,500,70.0,2.0,1.0,0.99,0.2,0.01,"Improvement limit
",566
224,120,69,500,70.0,2.0,1.5,0.99,0.2,0.01,"Improvement limit
",568
225,120,69,500,70.0,2.0,2.0,0.99,0.2,0.01,"Improvement limit
",561
226,120,69,500,70.0,2.0,2.5,0.99,0.2,0.01,"Improvement limit
",565
227,120,69,500,70.0,2.0,3.0,0.99,0.2,0.01,"Improvement limit
",560
228,120,69,500,70.0,2.0,3.5,0.99,0.2,0.01,"Improvement limit
",565
229,120,69,500,70.0,2.0,4.0,0.99,0.2,0.01,"Improvement limit
",566
230,120,69,500,70.0,2.5,0.5,0.99,0.2,0.01,"Improvement limit
",598
231,120,69,500,70.0,2.5,1.0,0.99,0.2,0.01,"Improvement limit
",573
232,120,69,500,70.0,2.5,1.5,0.99,0.2,0.01,"Improvement limit
",588
233,120,69,500,70.0,2.5,2.0,0.99,0.2,0.01,"Improvement limit
",566
234,120,69,500,70.0,2.5,2.5,0.99,0.2,0.01,"Improvement limit
",570
235,120,69,500,70.0,2.5,3.0,0.99,0.2,0.01,"Improvement limit
",569
236,120,69,500,70.0,2.5,3.5,0.99,0.2,0.01,"Improvement limit
",572
237,120,69,500,70.0,2.5,4.0,0.99,0.2,0.01,"Improvement limit
",578
238,120,69,500,70.0,3.0,0.5,0.99,0.2,0.01,"Improvement limit
",631
239,120,69,500,70.0,3.0,1.0,0.99,0.2,0.01,"Improvement limit
",575
240,120,69,500,70.0,3.0,1.5,0.99,0.2,0.01,"Improvement limit
",574
241,120,69,500,70.0,3.0,2.0,0.99,0.2,0.01,"Improvement limit
",571
242,120,69,500,70.0,3.0,2.5,0.99,0.2,0.01,"Improvement limit
",567
243,120,69,500,70.0,3.0,3.0,0.99,0.2,0.01,"Improvement limit
",574
244,120,69,500,70.0,3.0,3.5,0.99,0.2,0.01,"Improvement limit
",564
245,120,69,500,70.0,3.0,4.0,0.99,0.2,0.01,"Improvement limit
",568
246,120,69,500,70.0,3.5,0.5,0.99,0.2,0.01,"Improvement limit
",590
247,120,69,500,70.0,3.5,1.0,0.99,0.2,0.01,"Improvement limit
",563
248,120,69,500,70.0,3.5,1.5,0.99,0.2,0.01,"Improvement limit
",566
249,120,69,500,70.0,3.5,2.0,0.99,0.2,0.01,"Improvement limit
",579
250,120,69,500,70.0,3.5,2.5,0.99,0.2,0.01,"Improvement limit
",584
251,120,69,500,70.0,3.5,3.0,0.99,0.2,0.01,"Improvement limit
",569
252,120,69,500,70.0,3.5,3.5,0.99,0.2,0.01,"Improvement limit
",570
253,120,69,500,70.0,3.5,4.0,0.99,0.2,0.01,"Improvement limit
",576
254,120,69,500,70.0,4.0,0.5,0.99,0.2,0.01,"Improvement limit
",629
255,120,69,500,70.0,4.0,1.0,0.99,0.2,0.01,"Improvement limit
",595
256,120,69,500,70.0,4.0,1.5,0.99,0.2,0.01,"Improvement limit
",603
257,120,69,500,70.0,4.0,2.0,0.99,0.2,0.01,"Improvement limit
",584
258,120,69,500,70.0,4.0,2.5,0.99,0.2,0.01,"Improvement limit
",582
259,120,69,500,70.0,4.0,3.0,0.99,0.2,0.01,"Improvement limit
",564
260,120,69,500,70.0,4.0,3.5,0.99,0.2,0.01,"Improvement limit
",562
261,120,69,500,70.0,4.0,4.0,0.99,0.2,0.01,"Improvement limit
",577
262,120,69,500,70.0,1.5,1.0,0.6400000000000001,0.2,0.01,"Improvement limit
",579
263,120,69,500,70.0,1.5,1.0,0.6725210478254342,0.2,0.01,"Improvement limit
",596
264,120,69,500,70.0,1.5,1.0,0.7066946246378438,0.2,0.01,"Improvement limit
",606
265,120,69,500,70.0,1.5,1.0,0.7426047022719447,0.2,0.01,"Improvement limit
",603
266,120,69,500,70.0,1.5,1.0,0.7803395195187859,0.2,0.01,"Improvement limit
",571
267,120,69,500,70.0,1.5,1.0,0.8199917989474527,0.2,0.01,"Improvement limit
",573
268,120,69,500,70.0,1.5,1.0,0.8616589747443807,0.2,0.01,"Improvement limit
",585
269,120,69,500,70.0,1.5,1.0,0.9054434321301255,0.2,0.01,"Improvement limit
",571
270,120,69,500,70.0,1.5,1.0,0.9514527589418899,0.2,0.01,"Improvement limit
",577
271,120,69,500,70.0,1.5,1.0,0.9998000100000001,0.2,0.01,"Improvement limit
",619
272,120,69,500,70.0,1.5,1.0,0.99,0.1,0.01,"Improvement limit
",583
273,120,69,500,70.0,1.5,1.0,0.99,0.325,0.01,"Improvement limit
",578
274,120,69,500,70.0,1.5,1.0,0.99,0.55,0.01,"Improvement limit
",590
275,120,69,500,70.0,1.5,1.0,0.99,0.775,0.01,"Improvement limit
",579
276,120,69,500,70.0,1.5,1.0,0.99,1.0,0.01,"Improvement limit
",568
277,120,69,500,70.0,1.5,1.0,0.99,0.2,1.0,"Improvement limit
",1497
278,120,69,500,70.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",550
279,120,69,500,70.0,1.5,1.0,0.99,0.2,0.001,"Improvement limit
",573
280,120,69,500,70.0,1.5,1.0,0.99,0.2,0.001,"Improvement limit
",573
281,120,69,500,70.0,1.5,1.0,0.99,0.2,0.0001,"Improvement limit
",607
282,120,69,500,10.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",569
283,120,69,500,17.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",600
284,120,69,500,23.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",582
285,120,69,500,30.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",598
286,120,69,500,37.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",561
287,120,69,500,43.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",572
288,120,69,500,50.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",576
289,120,69,500,57.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",576
290,120,69,500,63.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",605
291,120,69,500,70.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",550
292,120,69,500,70.0,0.5,0.5,0.99,0.2,0.01,"Improvement limit
",1604
293,120,69,500,70.0,0.5,1.0,0.99,0.2,0.01,"Improvement limit
",1213
294,120,69,500,70.0,0.5,1.5,0.99,0.2,0.01,"Improvement limit
",906
295,120,69,500,70.0,0.5,2.0,0.99,0.2,0.01,"Improvement limit
",764
296,120,69,500,70.0,0.5,2.5,0.99,0.2,0.01,"Improvement limit
",741
297,120,69,500,70.0,0.5,3.0,0.99,0.2,0.01,"Improvement limit
",643
298,120,69,500,70.0,0.5,3.5,0.99,0.2,0.01,"Improvement limit
",614
